Count	Words
207		said the
130		of the
116		said Alice
95		in a
77		in the
75		and the
69		to the
60		at the
60		it was
57		the Queen
56		a little
56		as she
55		she had
55		the King
54		Mock Turtle
51		the Gryphon
51		to be
49		she was
49		the Mock
48		went on
46		the Hatter
45		to herself
44		and she
43		you know
39		out of
39		said to
35		with the
34		on the
34		that she
34		the Duchess
31		March Hare
31		she could
30		I don't
30		and then
30		she said
29		the Dormouse
29		the March
29		was a
28		the other
28		to her
27		did not
27		she went
27		with a
26		such a
26		thought Alice
25		all the
25		up and
24		at all
24		into the
23		the Caterpillar
23		to Alice
23		to see
22		White Rabbit
22		a very
22		it and
22		it said
22		that it
21		as well
21		by the
21		one of
21		the same
21		to say
20		could not
20		her head
20		of a
20		seemed to
20		the Mouse
20		the White
20		the door
20		to do
20		was the
19		a large
19		and was
19		as it
19		as the
19		but she
19		there was
18		about it
18		at once
18		had been
18		must be
18		of it
18		she thought
18		the Cat
18		the little
18		to get
18		when she
17		Alice and
17		Alice was
17		I should
17		a great
17		it had
17		looked at
17		of her
17		of them
17		so she
17		the Rabbit
17		would be
16		I shall
16		and a
16		for the
16		if you
16		like a
16		the jury
16		to go
15		I can't
15		I think
15		It was
15		There was
15		a minute
15		again and
15		and Alice
15		at last
15		but it
15		for a
15		in her
15		into a
15		sort of
15		the way
15		this time
14		a good
14		and began
14		it would
14		like the
14		the court
14		they were
13		I can
13		I know
13		I must
13		I wonder
13		and as
13		and said
13		as he
13		as if
13		be a
13		if I
13		it is
13		just as
13		of course
13		or two
13		she began
13		that the
13		the time
13		the whole
13		to find
12		Alice thought
12		I wish
12		So she
12		a long
12		back to
12		but I
12		but the
12		going to
12		had to
12		he said
12		minute or
12		ought to
12		she did
12		she found
12		the Dodo
12		the first
12		the house
12		the right
12		the words
11		Alice as
11		Alice could
11		Alice had
11		Alice said
11		I never
11		and looked
11		and went
11		end of
11		know what
11		she felt
11		she heard
11		tell you
11		the Pigeon
11		the cook
11		the end
11		the next
11		to have
11		to make
11		used to
11		was going
11		was not
11		with one
11		won't you
11		your Majesty
10		I suppose
10		Of course
10		Off with
10		a low
10		and I
10		and they
10		at her
10		do you
10		down the
10		for it
10		for she
10		for some
10		got to
10		had a
10		had not
10		his head
10		in an
10		it in
10		like to
10		my dear
10		poor Alice
10		the air
10		the baby
10		the dance
10		the sea
10		them and
10		till she
10		took the
10		turning to
10		was that
10		well as
10		what I
10		when I
10		you won't
9		Alice did
9		Alice in
9		Alice replied
9		Alice to
9		And she
9		I do
9		King and
9		and all
9		and he
9		as I
9		don't know
9		down and
9		had never
9		if it
9		it to
9		join the
9		must have
9		no use
9		of this
9		on it
9		sat down
9		she looked
9		she tried
9		so much
9		the garden
9		time she
9		tried to
9		was in
9		was very
9		who was
9		with his
9		you see
8		Alice I
8		Alice looked
8		Gryphon and
8		I am
8		I didn't
8		I was
8		I'm a
8		King said
8		So they
8		The Queen
8		a bit
8		about the
8		among the
8		and it
8		and when
8		any rate
8		at first
8		before she
8		began in
8		began to
8		cried the
8		from the
8		go on
8		have been
8		her face
8		if she
8		in it
8		is it
8		is the
8		it as
8		it might
8		little thing
8		look at
8		near the
8		on their
8		poor little
8		round the
8		said in
8		she came
8		she ran
8		that is
8		that they
8		the game
8		the rest
8		the table
8		the top
8		there were
8		they all
8		thought it
8		to a
8		to ask
8		to begin
8		to speak
8		trying to
8		very much
8		was no
8		was quite
8		were all
8		when they
8		who had
8		will you
8		with her
8		would not
8		you like
7		Alice began
7		And the
7		Do you
7		I could
7		I hadn't
7		I'm afraid
7		Queen and
7		Soo oop
7		You are
7		a mouse
7		about her
7		about in
7		added the
7		all round
7		am I
7		and had
7		and in
7		and that
7		and this
7		are you
7		at Alice
7		at any
7		at it
7		at least
7		beginning to
7		called out
7		cried Alice
7		did you
7		down on
7		fan and
7		for her
7		good deal
7		got up
7		her sister
7		herself in
7		indeed said
7		is to
7		like that
7		looking at
7		make out
7		now and
7		of his
7		of its
7		of sight
7		of that
7		on a
7		quite a
7		same thing
7		saying to
7		see it
7		see what
7		seem to
7		set to
7		she got
7		she would
7		so that
7		some time
7		tell me
7		that said
7		that you
7		the distance
7		the moment
7		the pool
7		the window
7		the wood
7		then she
7		then the
7		there's no
7		they had
7		think I
7		this moment
7		this she
7		through the
7		time to
7		to come
7		to it
7		to them
7		to think
7		to work
7		tone of
7		top of
7		under the
7		up into
7		up to
7		upon a
7		was so
7		way of
7		went to
7		what a
7		what it
7		when the
7		which was
7		wish I
7		with its
7		wonder what
7		you said
7		you to
7		you will
6		Alice a
6		Alice very
6		Alice who
6		Come on
6		Duchess and
6		I have
6		I haven't
6		I'm not
6		I'm sure
6		I've got
6		It's the
6		Let me
6		She was
6		What a
6		a curious
6		a moment
6		a thing
6		a tone
6		after all
6		all her
6		all that
6		and butter
6		and there
6		and very
6		as a
6		as they
6		as you
6		at this
6		be no
6		beautiful Soup
6		bread and
6		by this
6		close to
6		could see
6		dear I
6		felt that
6		few minutes
6		found herself
6		golden key
6		great hurry
6		have to
6		he spoke
6		her and
6		her eyes
6		her hand
6		her hands
6		herself and
6		his eyes
6		if he
6		in my
6		it I
6		it a
6		it but
6		it doesn't
6		it out
6		its eyes
6		its head
6		its mouth
6		left off
6		little door
6		moral of
6		not a
6		not like
6		not said
6		of Hearts
6		of little
6		off the
6		on in
6		other side
6		out to
6		over the
6		put it
6		ready to
6		said nothing
6		said this
6		she knew
6		she might
6		she spoke
6		side of
6		sitting on
6		some of
6		soon as
6		that I
6		that had
6		the Footman
6		the Knave
6		the Lory
6		the best
6		the chimney
6		the fan
6		the last
6		the middle
6		the moral
6		the name
6		the poor
6		the reason
6		the roof
6		the three
6		the trees
6		the world
6		their heads
6		their slates
6		thought and
6		three gardeners
6		to look
6		to tell
6		try the
6		up in
6		up the
6		use in
6		very curious
6		very soon
6		voice and
6		want to
6		was just
6		was looking
6		was now
6		was sitting
6		what you
6		while the
6		with an
6		you don't
6		you were
5		Alice Why
5		Alice felt
5		Alice she
5		Alice went
5		As she
5		Hatter and
5		I beg
5		I had
5		I only
5		I to
5		I won't
5		I've tried
5		If you
5		Oh my
5		Queen said
5		The Dormouse
5		The Hatter
5		The Mouse
5		Then you
5		Well I
5		Will you
5		a few
5		a serpent
5		about and
5		after a
5		after it
5		again I
5		all I
5		all over
5		all said
5		an old
5		and after
5		and found
5		and see
5		and that's
5		another moment
5		any more
5		as much
5		as to
5		be said
5		beg your
5		came upon
