Count	Words
19		sit amet
6		enim ut
5		aliquam ultrices
5		ipsum dolor
5		morbi non
5		nulla facilisi
5		nunc sed
5		sollicitudin aliquam
4		blandit libero
4		diam maecenas
4		dolor morbi
4		dolor sit
4		dui nunc
4		eget dolor
4		et netus
4		etiam dignissim
4		leo vel
4		lorem ipsum
4		mattis enim
4		nec dui
4		netus et
4		nunc mattis
4		porttitor eget
4		posuere sollicitudin
4		sed blandit
4		sed cras
4		turpis egestas
4		ultrices sagittis
3		a erat
3		a scelerisque
3		ac turpis
3		adipiscing elit
3		amet consectetur
3		amet purus
3		arcu risus
3		consectetur a
3		consectetur adipiscing
3		consequat id
3		dictum non
3		dignissim diam
3		eget nulla
3		eget nunc
3		est ullamcorper
3		et malesuada
3		et tortor
3		facilisi etiam
3		felis eget
3		fermentum leo
3		feugiat nibh
3		id porta
3		lacus sed
3		laoreet suspendisse
3		libero volutpat
3		magna sit
3		mauris a
3		nec tincidunt
3		neque laoreet
3		nisi scelerisque
3		nisl nisi
3		non arcu
3		non consectetur
3		non pulvinar
3		praesent semper
3		pulvinar neque
3		sagittis orci
3		scelerisque eu
3		scelerisque purus
3		semper feugiat
3		senectus et
3		tellus in
3		tincidunt praesent
3		tortor consequat
3		tristique senectus
3		ullamcorper eget
3		vel orci
3		volutpat sed
2		a cras
2		a diam
2		ac feugiat
2		adipiscing at
2		aliquam id
2		aliquam sem
2		aliquet nec
2		amet massa
2		amet porttitor
2		at in
2		at urna
2		bibendum neque
2		condimentum lacinia
2		congue quisque
2		cras ornare
2		cras pulvinar
2		cras sed
2		cras semper
2		diam quis
2		duis at
2		duis ultricies
2		egestas congue
2		egestas integer
2		egestas pretium
2		egestas sed
2		eget mauris
2		eleifend donec
2		elementum facilisis
2		elementum sagittis
2		elementum tempus
2		enim praesent
2		et molestie
2		eu mi
2		eu ultrices
2		facilisi nullam
2		fames ac
2		faucibus et
2		faucibus scelerisque
2		faucibus vitae
2		fringilla est
2		gravida quis
2		habitasse platea
2		hac habitasse
2		id diam
2		in dictum
2		in hac
2		in nisl
2		in tellus
2		integer eget
2		integer vitae
2		lacus suspendisse
2		lacus vestibulum
2		lectus vestibulum
2		maecenas sed
2		maecenas ultricies
2		malesuada fames
2		massa placerat
2		massa vitae
2		mattis nunc
2		mattis ullamcorper
2		mauris sit
2		mi bibendum
2		mi eget
2		molestie nunc
2		morbi tincidunt
2		morbi tristique
2		nam aliquam
2		nec nam
2		nec ullamcorper
2		neque egestas
2		nibh sed
2		nibh tellus
2		non blandit
2		non enim
2		nulla posuere
2		nullam ac
2		nullam vehicula
2		nunc non
2		odio ut
2		orci a
2		orci porta
2		pellentesque nec
2		pharetra et
2		pharetra vel
2		phasellus faucibus
2		placerat duis
2		platea dictumst
2		porta nibh
2		porta non
2		posuere lorem
2		potenti nullam
2		praesent elementum
2		proin fermentum
2		pulvinar mattis
2		purus gravida
2		purus semper
2		quisque egestas
2		scelerisque eleifend
2		sed enim
2		sed felis
2		sed pulvinar
2		sed risus
2		sed turpis
2		sed vulputate
2		sem et
2		sem viverra
2		suspendisse faucibus
2		tellus elementum
2		tellus mauris
2		tellus molestie
2		tempus egestas
2		tortor at
2		tortor condimentum
2		tristique magna
2		ullamcorper sit
2		ullamcorper velit
2		ultricies lacus
2		ultricies mi
2		urna nec
2		ut enim
2		ut lectus
2		ut sem
2		ut tellus
2		ut venenatis
2		vel turpis
2		velit sed
2		venenatis tellus
2		vestibulum mattis
2		vitae aliquet
2		viverra adipiscing
2		viverra tellus
2		volutpat odio
2		vulputate mi
2		vulputate odio
1		a arcu
1		a condimentum
1		a iaculis
1		a lacus
1		ac auctor
1		ac felis
1		ac odio
1		ac porttitor
1		ac tortor
1		ac ut
1		accumsan in
1		accumsan lacus
1		accumsan tortor
1		adipiscing bibendum
1		adipiscing diam
1		adipiscing duis
1		adipiscing enim
1		adipiscing tristique
1		adipiscing vitae
1		aenean pharetra
1		aenean sed
1		aenean viverra
1		aliqua mauris
1		aliquam eleifend
1		aliquam faucibus
